idboleta,fac00,area,region,r004,pobreza,ingpe,r3213a,r32309a,r32309b,INTERNET_SI_NO,COMPUTADORA_SI_NO,es_outlier_ingreso,INGPE_LIMPIO,BRECHA_DIGITAL,LOG_INGPE,INGPE_ESCALADO,PC_ESCALADO
352895.0,115.26111373441557,Urbano,Occidental,Ahuachapán,No pobre,570.67,No,No,0.0,0.0,0.0,False,570.67,1.0,6.348561901818721,1.7793052267024774,0.0
352896.0,127.94779028211411,Urbano,Occidental,Ahuachapán,Pobreza extrema,24.0,Sí,Sí,2.0,1.0,1.0,False,24.0,0.0,3.2188758248682006,-0.7965626509288384,2.0
352897.0,125.833344190831,Urbano,Occidental,Ahuachapán,No pobre,227.91666666666666,No,No,0.0,0.0,0.0,False,227.91666666666666,1.0,5.433358036307274,0.16427732818162893,0.0
352898.0,115.26111373441557,Urbano,Occidental,Ahuachapán,Pobreza extrema,47.915,Sí,No,0.0,1.0,0.0,False,47.915,1.0,3.890084097909392,-0.6838769716459933,0.0
352899.0,125.833344190831,Urbano,Occidental,Ahuachapán,Pobreza relativa,120.0,Sí,No,0.0,1.0,0.0,False,120.0,1.0,4.795790545596741,-0.3442178793982873,0.0
352900.0,115.26111373441557,Urbano,Occidental,Ahuachapán,Pobreza extrema,2.5,Sí,No,0.0,1.0,0.0,False,2.5,1.0,1.252762968495368,-0.8978690320528679,0.0
352902.0,115.26111373441557,Urbano,Occidental,Ahuachapán,No pobre,601.0,Sí,No,0.0,1.0,0.0,False,601.0,1.0,6.400257445308821,1.922217902957911,0.0
352903.0,131.11945941903872,Urbano,Occidental,Ahuachapán,No pobre,300.0,Sí,No,0.0,1.0,0.0,False,300.0,1.0,5.707110264748875,0.5039285672214958,0.0
349326.0,239.73709357941496,Urbano,Occidental,Ahuachapán,No pobre,220.2075,No,No,0.0,0.0,0.0,False,220.2075,1.0,5.399101175040836,0.1279523153220012,0.0
349328.0,239.73709357941496,Urbano,Occidental,Ahuachapán,Pobreza relativa,80.71,No,No,0.0,0.0,0.0,False,80.71,1.0,4.403176393396616,-0.5293494009965722,0.0
349330.0,210.74190308477523,Urbano,Occidental,Ahuachapán,Pobreza extrema,42.12,No,No,0.0,0.0,0.0,False,42.12,1.0,3.7639869266007415,-0.7111825753024468,0.0
349331.0,233.938055480487,Urbano,Occidental,Ahuachapán,Pobreza relativa,99.982,Sí,Sí,3.0,1.0,1.0,False,99.982,0.0,4.614942283136794,-0.4385411881118141,3.0
349332.0,210.74190308477523,Urbano,Occidental,Ahuachapán,Pobreza relativa,98.0,No,Sí,1.0,0.0,1.0,False,98.0,1.0,4.59511985013459,-0.4478802228740386,1.0
349333.0,239.73709357941496,Urbano,Occidental,Ahuachapán,No pobre,366.12,No,No,0.0,0.0,0.0,False,366.12,1.0,5.905688770086578,0.8154810286131629,0.0
349335.0,230.0720300812017,Urbano,Occidental,Ahuachapán,Pobreza extrema,48.403333333333336,No,Sí,1.0,0.0,1.0,False,48.403333333333336,1.0,3.900017898300714,-0.6815759817491451,1.0
351029.0,225.23949833209505,Urbano,Occidental,Ahuachapán,Pobreza extrema,45.1025,No,No,0.0,0.0,0.0,False,45.1025,1.0,3.830867178467137,-0.6971292598744274,0.0
349337.0,239.73709357941496,Urbano,Occidental,Ahuachapán,Pobreza extrema,25.895,No,Sí,1.0,0.0,1.0,False,25.895,1.0,3.291940395725206,-0.7876335536158133,1.0
351121.0,204.46578328096152,Urbano,Occidental,Ahuachapán,Pobreza extrema,62.335,Sí,Sí,1.0,1.0,1.0,False,62.335,0.0,4.148438098935596,-0.6159310174223417,1.0
351122.0,196.22269186312138,Urbano,Occidental,Ahuachapán,No pobre,250.86,Sí,Sí,1.0,1.0,1.0,False,250.86,0.0,5.528873377577701,0.2723845872942951,1.0
351123.0,204.46578328096152,Urbano,Occidental,Ahuachapán,No pobre,245.67749999999998,Sí,No,0.0,1.0,0.0,False,245.67749999999998,1.0,5.508081815484617,0.24796503751870036,0.0
351124.0,189.62821872884933,Urbano,Occidental,Ahuachapán,Pobreza relativa,82.0,Sí,Sí,2.0,1.0,1.0,False,82.0,0.0,4.418840607796598,-0.5232710181291305,2.0
352842.0,204.46578328096152,Urbano,Occidental,Ahuachapán,No pobre,535.0,Sí,No,0.0,1.0,0.0,False,535.0,1.0,6.284134161070802,1.6112308725306572,0.0
351125.0,216.83042040772162,Urbano,Occidental,Ahuachapán,No pobre,208.52,No,Sí,2.0,0.0,1.0,False,208.52,1.0,5.344819200199456,0.07288169535050831,2.0
351126.0,216.83042040772162,Urbano,Occidental,Ahuachapán,Pobreza relativa,127.86,Sí,No,0.0,1.0,0.0,False,127.86,1.0,4.858726543710496,-0.30718215122922343,0.0
351127.0,212.70887469880157,Urbano,Occidental,Ahuachapán,No pobre,166.66666666666666,No,No,0.0,0.0,0.0,False,166.66666666666666,1.0,5.121977881431629,-0.12432805990426951,0.0
351130.0,199.51992843025747,Urbano,Occidental,Ahuachapán,Pobreza extrema,66.24199999999999,No,No,0.0,0.0,0.0,False,66.24199999999999,1.0,4.208298052297946,-0.5975215276059891,0.0
351131.0,212.70887469880157,Urbano,Occidental,Ahuachapán,Pobreza relativa,84.38666666666667,No,Sí,1.0,0.0,1.0,False,84.38666666666667,1.0,4.447189960580295,-0.5120252245035792,1.0
352843.0,196.22269186312138,Urbano,Occidental,Ahuachapán,No pobre,288.61333333333334,No,No,0.0,0.0,0.0,False,288.61333333333334,1.0,5.668546699967383,0.45027545126495555,0.0
354658.0,98.81348714603904,Urbano,Occidental,Ahuachapán,No pobre,387.4433333333334,Sí,No,0.0,1.0,0.0,False,387.4433333333334,1.0,5.962147299023217,0.9159549697062511,0.0
354659.0,83.49623987060217,Urbano,Occidental,Ahuachapán,No pobre,188.5,No,No,0.0,0.0,0.0,False,188.5,1.0,5.244389024522481,-0.021451037212425392,0.0
354661.0,83.49623987060217,Urbano,Occidental,Ahuachapán,No pobre,342.23,Sí,No,0.0,1.0,0.0,False,342.23,1.0,5.838400776380962,0.7029131474479039,0.0
354662.0,91.1548635083206,Urbano,Occidental,Ahuachapán,No pobre,212.22333333333336,Sí,No,0.0,1.0,0.0,False,212.22333333333336,1.0,5.3623401297053235,0.09033152316892651,0.0
354663.0,94.98417532717983,Urbano,Occidental,Ahuachapán,Pobreza extrema,50.5,No,No,0.0,0.0,0.0,False,50.5,1.0,3.9415818076696905,-0.6716966462875925,0.0
354666.0,94.98417532717983,Urbano,Occidental,Ahuachapán,No pobre,352.5,Sí,No,0.0,1.0,0.0,False,352.5,1.0,5.867883485336628,0.7513046141522659,0.0
354667.0,94.98417532717983,Urbano,Occidental,Ahuachapán,No pobre,311.655,Sí,Sí,1.0,1.0,1.0,False,311.655,0.0,5.7451003462091155,0.5588460496401266,1.0
354669.0,91.1548635083206,Urbano,Occidental,Ahuachapán,Pobreza relativa,74.33333333333333,Sí,No,0.0,1.0,0.0,False,74.33333333333333,1.0,4.321922710604176,-0.559395774188862,0.0
356407.0,263.6135466148778,Urbano,Occidental,Ahuachapán,No pobre,184.5,No,No,0.0,0.0,0.0,False,184.5,1.0,5.22305488204749,-0.04029873602619835,0.0
356408.0,318.0179499811453,Urbano,Occidental,Ahuachapán,No pobre,206.35500000000002,No,No,0.0,0.0,0.0,False,206.35500000000002,1.0,5.334432300218874,0.06268037836755375,0.0
356409.0,263.6135466148778,Urbano,Occidental,Ahuachapán,No pobre,150.0,No,No,0.0,0.0,0.0,False,150.0,1.0,5.017279836814924,-0.2028601382949901,0.0
356410.0,299.8831488590562,Urbano,Occidental,Ahuachapán,No pobre,176.04,No,Sí,1.0,0.0,1.0,False,176.04,1.0,5.176375695742794,-0.0801616190173282,1.0
356411.0,299.8831488590562,Urbano,Occidental,Ahuachapán,No pobre,317.0825,Sí,No,0.0,1.0,0.0,False,317.0825,1.0,5.76231078309527,0.5844200209680649,0.0
356412.0,299.8831488590562,Urbano,Occidental,Ahuachapán,Pobreza relativa,102.915,No,Sí,1.0,0.0,1.0,False,102.915,1.0,4.643573257271036,-0.424721112956615,1.0
356413.0,299.8831488590562,Urbano,Occidental,Ahuachapán,No pobre,168.70749999999998,No,No,0.0,0.0,0.0,False,168.70749999999998,1.0,5.134076366902946,-0.1147118069053258,0.0
356414.0,311.9730162737822,Urbano,Occidental,Ahuachapán,Pobreza relativa,94.16666666666667,No,No,0.0,0.0,0.0,False,94.16666666666667,1.0,4.555629740427955,-0.4659426009039043,0.0
356415.0,290.81574829801156,Urbano,Occidental,Ahuachapán,No pobre,226.83249999999998,Sí,Sí,1.0,1.0,1.0,False,226.83249999999998,0.0,5.428610709844729,0.15916881648231251,1.0
359798.0,287.79328144433003,Urbano,Occidental,Ahuachapán,Pobreza relativa,108.33333333333333,No,No,0.0,0.0,0.0,False,108.33333333333333,1.0,4.694401319716034,-0.3991903342717918,0.0
356416.0,299.8831488590562,Urbano,Occidental,Ahuachapán,Pobreza relativa,125.79,Sí,Sí,1.0,1.0,1.0,False,125.79,0.0,4.842532174539857,-0.3169358353653509,1.0
356417.0,318.0179499811453,Urbano,Occidental,Ahuachapán,Pobreza relativa,132.73000000000002,Sí,Sí,1.0,1.0,1.0,False,132.73000000000002,0.0,4.895822841884705,-0.2842350779234548,1.0
356418.0,299.8831488590562,Urbano,Occidental,Ahuachapán,No pobre,134.8525,No,Sí,2.0,0.0,1.0,False,134.8525,1.0,4.911569738353012,-0.27423401774039663,2.0
359915.0,197.71015996115835,Urbano,Occidental,Ahuachapán,No pobre,305.4433333333333,Sí,Sí,1.0,1.0,1.0,False,305.4433333333333,0.0,5.725032855194645,0.5295771440239052,1.0
359916.0,224.91236164429213,Urbano,Occidental,Ahuachapán,No pobre,314.04,Sí,No,0.0,1.0,0.0,False,314.04,1.0,5.752699614890815,0.570083990057839,0.0
359917.0,224.91236164429213,Urbano,Occidental,Ahuachapán,No pobre,473.50249999999994,Sí,No,0.0,1.0,0.0,False,473.50249999999994,1.0,6.162266886740002,1.3214592830806562,0.0
359918.0,215.84496108324748,Urbano,Occidental,Ahuachapán,Pobreza relativa,113.97333333333334,No,No,0.0,0.0,0.0,False,113.97333333333334,1.0,4.744700217416014,-0.37261507894437185,0.0
359921.0,238.51346248585898,Urbano,Occidental,Ahuachapán,Pobreza relativa,81.25,No,Sí,1.0,0.0,1.0,False,81.25,1.0,4.409763389645481,-0.5268049616567129,1.0
359922.0,215.84496108324748,Urbano,Occidental,Ahuachapán,Pobreza relativa,70.41666666666667,Sí,No,0.0,1.0,0.0,False,70.41666666666667,1.0,4.268531268809779,-0.5778508126106813,0.0
359923.0,215.84496108324748,Urbano,Occidental,Ahuachapán,No pobre,185.69333333333336,Sí,No,0.0,1.0,0.0,False,185.69333333333336,1.0,5.229467342000833,-0.03467583921342264,0.0
